,Date,Symbol,Order,Shares
0,2008-01-23,AAPL,SELL,200
1,2008-02-15,AAPL,BUY,400
2,2008-03-18,AAPL,SELL,400
3,2008-04-09,AAPL,BUY,400
4,2008-05-07,AAPL,SELL,400
5,2008-07-18,AAPL,BUY,400
6,2008-08-11,AAPL,SELL,400
7,2008-10-02,AAPL,BUY,400
8,2008-10-24,AAPL,SELL,400
9,2008-11-17,AAPL,BUY,400
10,2008-12-09,AAPL,SELL,400
11,2008-12-31,AAPL,BUY,400
12,2009-01-28,AAPL,SELL,400
13,2009-02-19,AAPL,BUY,400
14,2009-06-05,AAPL,SELL,400
15,2009-06-29,AAPL,BUY,400
16,2009-09-16,AAPL,SELL,400
17,2009-10-09,AAPL,BUY,400
18,2009-11-13,AAPL,SELL,400
19,2009-12-10,AAPL,BUY,400
